dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_arena_intro_3:arena_training_melee_intro|Fale-me das lutas corpo a corpo.
dlga_arena_training_melee_intro:arena_training_melee_intro_2|Os lutadores e cavaleiros normalmente ficam entediados aguardando o próximo torneio, e é por esta razão que foi criado o treinamento corpo a corpo. Na realidade, é uma ideia muito simples. Os lutadores saltam para a arena com uma arma. Não há regras, nem equipes. Todo mundo golpeia um ao outro até que reste apenas um lutador de pé. Parece divertido, hã?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_reward|Há alguma recompensa?
dlga_arena_training_melee_intro_reward:arena_training_melee_intro_2|Sim, há. Alguns dos ricos da cidade oferecem prêmios para aqueles lutadores que mostrem grande destreza na luta. Se você for capaz de abater {reg1} oponentes antes de cair, ganhará {reg11} Florins. Obterá {reg12} Florins por derrubar ao menos {reg2} oponentes, {reg13} Florins se puder derrotar {reg3} oponentes, e {reg14} Florins se sobreviver o bastante para derrubar {reg4} oponentes. Se você conseguir ser a última pessoa de pé na arena, ganhará o grande prêmio das lutas: {reg15} Florins. Soa bem, hã?
dlga_arena_training_melee_explain_reward:arena_master_melee_pretalk|Alguns dos ricos da cidade oferecem prêmios para aqueles lutadores que mostrem grande destreza na luta. Se você for capaz de derrubar {reg1} oponentes antes de cair, ganhará {reg11} Florins. Obterá {reg12} Florins por derrubar ao menos {reg2} oponentes, {reg13} Florins se puder derrotar {reg3} oponentes, e {reg14} Florins se sobreviver o bastante para derrubar {reg4} oponentes. Se você conseguir ser a última pessoa de pé na arena, ganhará o grande prêmio das lutas: {reg15} Florins. Parece bom, hã?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_3|Posso me unir a vocês também?
dlga_arena_training_melee_intro_3:arena_master_melee_talk|Ha-ha. Você estaria mal da cabeça se não quisesse. Claro. As lutas corpo a corpo são abertas para todos. Precisamente, haverá uma em breve. Você pode entrar e participar se quiser.
dlga_start:arena_master_intro_1|Olá. Você parece ser {novo/nova} aqui. Se importa de dizer-me seu nome?
dlga_arena_master_intro_1:arena_master_intro_2|Sou {playername}.
dlga_arena_master_intro_2:arena_master_pre_talk|Muito prazer, {playername}. Sou o mestre de torneios aqui em {s1}. Fale comigo caso queira unir-se a uma luta.
dlga_start:arena_master_fight_result|.
dlga_arena_master_fight_result:arena_master_pre_talk|Ha, Ha, saiba que ficarão pequenos hematomas. Mas não se preocupe. Todo mundo é derrotado de vez em quando. O importante é se levantar, sacudir a poeira e continuar lutando. É isso o que os campeões fazem.
dlga_arena_master_fight_result:arena_master_pre_talk.1|Ei, você conseguiu derrubar {reg8} oponentes! Nada mau. Mas só com isso não conseguirá nenhum prêmio. Agora, se eu fosse você, voltaria lá e mostraria a todos o que sou capaz de fazer...
dlga_arena_master_fight_result:arena_master_pre_talk.2|Você lutou um pouco melhor. Bons reflexos. Você realmente promete. E ganhou um prêmio de {reg10} Florins por derrubar {reg8} oponentes.
dlga_arena_master_fight_result:arena_master_pre_talk.3|Você lutou bem. Conseguiu levar ao solo não menos que {reg8} oponentes. E, naturalmente, ganhou um prêmio de {reg10} Florins.
dlga_arena_master_fight_result:arena_master_pre_talk.4|Sua atuação foi incrível! Você é, sem sombra de dúvidas, muito hábil na luta. Nem todo mundo pode derrubar {reg8} pessoas nas lutas. Evidentemente, você merece um prêmio por essa atuação: {reg10} Florins. Bom, não?
dlga_arena_master_fight_result:arena_master_pre_talk.5|Foi uma luta realmente boa, {playername}. Você tem uns movimentos espetaculares e uma tática excelente. E ganhou um prêmio de {reg10} Florins por derrubar {reg8} oponentes.
dlga_arena_master_fight_result:arena_master_pre_talk.6|Parabéns, {campeão/campeã}! Sua luta lá dentro foi memorável! Você conseguiu ser a última pessoa de pé, levando ao solo todo o resto. E, naturalmente, ganhou o grande prêmio das lutas: {reg10} Florins.
dlga_start:arena_master_pre_talk|Olá, {playername}. Alegro-me em vê-l{o/a} novamente.
dlga_arena_master_pre_talk:arena_master_talk|O que gostaria de fazer?
dlga_arena_master_talk:arena_master_melee_pretalk|Sobre as lutas corpo a corpo...
dlga_arena_master_talk:arena_master_ask_tournaments|Haverá em breve algum torneio nas cidades próximas?
dlga_arena_master_talk:close_window|Agora tenho que ir. Adeus.
dlga_arena_master_ask_tournaments:arena_master_talk|{reg2?Não haverá torneios no momento.:{reg1?Serão celebrados torneios:Será celebrado um torneio} em {s15}.}
dlga_arena_master_melee_pretalk:arena_master_melee_talk|Haverá uma luta aqui em breve. Você pode entrar e participar se quiser.
dlga_arena_master_melee_talk:close_window|Ótimo. Isso é o que eu vou fazer.
dlga_arena_master_melee_talk:arena_master_melee_reject|Obrigad{o/a}. Mas deixe-me curar alguns hematomas.
dlga_arena_master_melee_reject:arena_master_pre_talk|{Bom garoto/Boa garota}! É uma boa ideia.
dlga_arena_master_melee_talk:arena_training_melee_explain_reward|Bem, pode falar-me outra vez das recompensas?
dlga_start:galeas_talk|Olá, {garoto/garota}. Se tiver algum prisioneiro, o comprarei com muito gosto.
dlga_galeas_talk:galeas_sell_prisoners|Então é melhor que traga o dinheiro. Tenho prisioneiros para vender.
dlga_galeas_talk:close_window|Desta vez não. Adeus.
dlga_galeas_sell_prisoners:galeas_sell_prisoners_2|Deixe-me ver o que tem...
dlga_galeas_sell_prisoners_2:close_window|Se capturar mais prisioneiros, traga-os para mim. Pagarei bem por eles.
dlga_bandit_introduce:bandit_talk|{s5}
dlga_bandit_talk:close_window|Não conseguirá nada além do aço da minha lâmina, bastardo!
dlga_bandit_talk:bandit_barter|Não há necessidade de lutar. Posso pagar pelo direito de passagem.
dlga_bandit_barter:bandit_barter_2|Prata sem sangue, isso é o que mais gostamos. Humm, dando uma olhada em você penso que você pode facilmente nos pagar {reg5} Florins. Pague isso, e {o/a} deixaremos seguir seu caminho.
dlga_bandit_barter_2:bandit_barter_3a|Muito bem, tome.
dlga_bandit_barter_2:bandit_barter_3b|Não levo tanto dinheiro comigo.
dlga_bandit_barter_3b:close_window|É uma pena. Nesse caso, acho que {o/a} venderemos como escrav{o/a}. Agarrem {ele/ela}, rapazes!
dlga_bandit_barter:close_window|Ei, ouvi falar de você! Exterminou nosso povo como se fossem cães e agora espera que {o/a} deixe ir por algumas moedas fedidas? Pode esquecer! Você não teve piedade de nós, e agora pagará na mesma moeda.
dlga_bandit_barter_3a:close_window|Ei, ei, não foi tão difícil, hã? Muito bem, pode ir agora. Desapareça!
dlga_start:bandit_meet|Sim? Do que se trata?
dlga_bandit_meet:bandit_attack|Parece que a sorte {o/a} abandonou, escória. Prepare-se para morrer!
dlga_bandit_attack:close_window|{s5}
dlga_bandit_meet:close_window|Nada, não tenho assuntos pendentes com você.
dlga_start:bandit_knight_talk|O destino trouxe você para nós. Nós somos os santos cavaleiros do Senhor. Quem é você e esses que te seguem?
dlga_bandit_knight_introduce:bandit_knight_talk|Pare em nome da Ordem! O destino trouxe você para nós. Nós somos os santos cavaleiros do Senhor. Quem é você e esses que te seguem?
dlga_bandit_knight_introduce:close_window|Pare em nome da Ordem! Você decidiu se tornar nosso inimigo. Agora aceite seu destino horrível. É hora de você desaparecer desta terra!
dlga_bandit_knight_talk:close_window|Eu não vou te dar nada além de aço frio, sua santa escória!
dlga_bandit_knight_talk:bandit_knight_religion|Eu sou {playername}. Nós somos seguidores do {s10}.
dlga_bandit_knight_talk:close_window.1|Você parece muito assustador para começar uma boa conversa. Eu acho que deveria ir.
dlga_bandit_knight_talk:close_window.2|Você de novo não! Por favor, pegue 1250 Florins e vá embora!
dlga_bandit_knight_religion:bandit_knight_religion_b|Essa é a Única Fé Verdadeira! Nós vamos deixar você em paz, amigo companheiro. Que o Senhor esteja com você.
dlga_bandit_knight_religion:bandit_knight_end|Este pagão infiel será removido desta terra! Nós somos os Cavaleiros Escolhidos para decidir sobre o destino dos infiéis! Nenhum escapamento é possível. Você deve ser sacrificado pelo Céu!
dlga_bandit_knight_end:close_window|Errrr... hora de partir.
dlga_bandit_knight_religion_b:bandit_knight_religion_c|Errr... obrigado. Que o Senhor do Antigo e Novo Testamento esteja com você. É aqui que nossos caminhos se separam.
dlga_bandit_knight_religion_c:bandit_knight_religion_d|De fato, companheiro... espere! Senhor do Antigo Testamento? Mas você não sabe que é Satanás? Ele é o criador do mundo. O Deus do Novo Testamento é o certo. Eu sabia que você é um infiel. Lute ou morra! Você deve ser sacrificado pelo céu!
dlga_bandit_knight_religion_d:close_window|Ó meu Deus...
dlga_start:disbanded_troop_ask|Quer que o sigamos?
dlga_disbanded_troop_ask:disbanded_troop_join|Sim. Cavalguemos juntos novamente.
dlga_disbanded_troop_ask:close_window|Não. Agora não.
dlga_disbanded_troop_join:close_window|Infelizmente, não há lugar para nós em seu exército.
dlga_disbanded_troop_join:close_window.1|Estamos às suas ordens.
dlga_start:enemy_talk_1|Você não irá me capturar novamente. Não desta vez...
dlga_enemy_talk_1:enemy_talk_2|Você não tem chance alguma contra mim. Renda-se!
dlga_enemy_talk_2:close_window|Eu me renderei quando estiver morto!
dlga_start:party_encounter_routed_agents_are_caught|Eu imploro, por favor, deixe-nos em paz!
dlga_party_encounter_routed_agents_are_caught:party_encounter_routed_agents_are_caught2|Achou mesmo que podia fugir de mim? Será meu prisioneiro ou morrerá!
dlga_party_encounter_routed_agents_are_caught:close_window|Muito bem. Os deixarei partir desta vez. E que não voltemos a nos encontrar!
dlga_party_encounter_routed_agents_are_caught2:close_window|Você não tem o mínimo de misericórdia? Muito bem, lutaremos até o último homem!
dlga_party_encounter_routed_agents_are_caught2:close_window.1|{s1}
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws|Hum. 10 Florins por cada salteador representam {reg1} Florins por estes {reg0}.
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws.1|Deixe-me ver... Você trouxe {reg0} bandidos. Assim, 20 Florins por cada um somam {reg1} Florins no total.
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws.2|Bom, bom, você capturou {reg0} bandidos. Cada um vale 30 Florins, por isso lhe darei {reg1} por todos.
dlga_sell_prisoner_outlaws:close_window|Suponho que isso é tudo, então.
dlga_prisoner_chat:close_window| 
dlga_prisoner_chat:prisoner_chat_accept_confirm|Certo, eu liberei espaço para você.
dlga_prisoner_chat_accept_confirm:prisoner_chat_accept3|Estou ao seu comando, {meu senhor /minha senhora}.
dlga_prisoner_chat:close_window.1|Desculpe, ainda não tenho espaço para você. Terá que esperar mais um pouco.
dlga_prisoner_chat:prisoner_chat_commoner|Você aí!
dlga_prisoner_chat:prisoner_chat_lord|{s1}
dlga_prisoner_chat_commoner:prisoner_chat_menu|Eu?! (Gole!)
dlga_prisoner_chat_lord:prisoner_chat_noble|Sim, {Senhor/Senhora} {s1}?
dlga_prisoner_chat_noble:prisoner_chat_noble_prerelease|Você está livre para ir.
dlga_prisoner_chat_noble:prisoner_chat_noble_prekeep|Você permanecerá meu prisioneiro.
dlga_prisoner_chat_noble:prisoner_chat_treason|Você cometeu alta traição!
dlga_prisoner_chat_noble_prerelease:prisoner_chat_noble_release|Apesar do que você pode ter ouvido, sou {um homem/uma mulher} de honra. Você está livre para ir.
dlga_prisoner_chat_noble_release:close_window|Não vou esquecer este ato de cavalheirismo!
dlga_prisoner_chat_noble_prekeep:prisoner_chat_noble_keep|Você vai entender se eu mantê-lo como refém até que sua família possa se dar ao luxo de... compensar-me por certas despesas e dificuldades que tenho suportado para mantê-lo alimentado e... seguro... nas últimas semanas.
dlga_prisoner_chat_noble_keep:close_window|Na verdade, isso está abaixo do seu nível.
dlga_prisoner_chat_noble_keep:close_window.1|E eu confio que você será compreensiv{o/a} quando eu te caçar como {o/a} ca{chorro/dela} que você é!
dlga_prisoner_chat_menu:prisoner_chat_offer|Hmmm... talvez você não seja tão estúpido quanto o resto desses animais.
dlga_prisoner_chat_menu:prisoner_chat_release|Por mais miserável que seja, não posso deixar de sentir pena de você.
dlga_prisoner_chat_menu:prisoner_chat_die1|Você se atreveu a lutar comigo? Por este meio sentencio você à morte! MORRA!
dlga_prisoner_chat_menu:close_window|Volte para a fila, escória!
dlga_prisoner_chat_release:prisoner_chat_release2|Estou me sentindo generos{o/a} hoje. Suma daqui, antes que eu mude de ideia!
dlga_prisoner_chat_release2:close_window|Oh, obrigado, {Sor/Madame}.  Bênçãos a você!
dlga_prisoner_chat_offer:prisoner_chat_reaction|Ouça, escória, você tem uma última chance de se redimir antes de eu te vender para os comerciantes de escravos. Abandone todas as suas alianças prévias e jure lealdade a mim, obedeça a todas as minhas ordens ao pé da letra, e você será pago, alimentado e equipado. Se você não... bem, vamos apenas dizer que a vida como {escravo/escrava} será praticamente composta de infindáveis anos de agonia, desnutrição e espancamentos. Eu aconselho você a pensar muito, muito cuidadosamente antes de escolher.
dlga_prisoner_chat_reaction:prisoner_chat_accept1|Obrigao por sua misericórdia, {sor/madame}. Eu juro pelo túmulo da minha mãe. Eu vou servir você, {meu senhor/minha lady}!
dlga_prisoner_chat_reaction:prisoner_chat_refuse|Eu vou te mostrar o que eu penso da sua oferta! (O prisioneiro cospe a seus pés) Lá. Agora saia daqui, não estou interessado.
dlga_prisoner_chat_refuse:prisoner_chat_menu|Entendo...
dlga_prisoner_chat_die1:prisoner_chat_die2|(Você avança no prisioneiro...)
dlga_prisoner_chat_die2:prisoner_chat_die3|Por favor, {sor/madame}, não me mate. Eu sou um prisioneiro indefeso. Certamente você não é tão cruel assim?
dlga_prisoner_chat_die3:prisoner_chat_die4|(Matar o prisioneiro)
dlga_prisoner_chat_die3:close_window|Não, Eu não vou me rebaixar a esse nível.
dlga_prisoner_chat_die4:close_window|(O prisioneiro luta contra suas algemas, desesperado para se libertar e escapar de você, mas sem sucesso. Você cortou sua garganta com uma faca e assistiu, satisfeit{o/a}, enquanto o cadáver caía no chão.)
dlga_prisoner_chat_accept1:prisoner_chat_accept2|Se você falhar ou tremer sob o meu comando, eu o farei severamente disciplinado!
dlga_prisoner_chat_accept1:prisoner_chat_accept2.1|No meu acampamento somos todos tratados como iguais. Espero sua obediência, mas também sua confiança.
dlga_prisoner_chat_accept2:prisoner_chat_accept3|Eu vou obedecer suas ordens, {meu senhor/minha senhora}.  Eu juro!
dlga_prisoner_chat_accept3:close_window|Oh! Aparentemente não há espaço suficiente para você entre as minhas tropas. Voltarei quando tiver espaço.
dlga_prisoner_chat_accept3:close_window.1|Excelente. Fale com o intendente para provisões e equipamentos. Há muita luta pela frente.
dlga_prisoner_chat_treason:prisoner_chat_treason_plead|{s1}, você cometeu crimes contra o {s2}, pelos quais você passará por julgamento. ^ O que você diz em sua defesa?
dlga_prisoner_chat_treason_plead:prisoner_chat_treason_choose|{Seu rato imundo/Sua rata imunda}. Meu nome é {s3}, líder glorioso do grande {s2}. Eu sou enviado pelo Eterno para governar este reino na Terra. Você vai se curvar aos meus pés, como você se atreve a me acusar.
dlga_prisoner_chat_treason_plead:prisoner_chat_treason_choose.1|Por favor, tenha piedade da minha alma. Tudo o que fiz, fiz em nome do meu Rei e do País! Eu sou apenas um patriota, como você, e eu mereço o seu respeito, nada mais.
dlga_prisoner_chat_treason_plead:prisoner_chat_treason_choose.2|Você está gravemente enganad{o/a}! Eu sou um honrado senhor, e não fiz nada que você não fizesse se nossos papéis fossem trocados.
dlga_prisoner_chat_treason_plead:prisoner_chat_treason_choose.3|Eu cuspo em você e nos seus! Você é apenas {um cão imundo/uma vadia imunda} que vem fazer-se de importante, como se você fosse Nobre e tivesse qualquer direito de me julgar! Me julgar! Você não é nada além de {um/uma} bandid{o/a} comum e {um/uma} covarde! Eu não me curvo a você. Você que deve cair de joelhos e implorar pelo *meu* perdão!
dlga_prisoner_chat_treason_plead:prisoner_chat_treason_choose.4|Você se atreve a me acusar?! {Seu filhotinho chorão/Sua filhotinha chorona}! Eu deveria ver você açoitad{o/a} e acorrentad{o/a} em uma das minhas prisões por sua insolência!
dlga_prisoner_chat_treason_choose:prisoner_chat_treason_not_guilty|Sou {um homem/uma mulher} de honra. Pouparei sua vida neste dia!
dlga_prisoner_chat_treason_not_guilty:close_window|Ainda há esperança para você, {s1}.
dlga_prisoner_chat_treason_choose:prisoner_chat_treason_guilty|Você não merece clemência. Deve pagar por seus crimes com sua vida.
dlga_prisoner_chat_treason_guilty:prisoner_chat_treason_final_words|Por seus muitos crimes contra o {s1}, eu o sentencio à morte, para ser executado imediatamente. Você tem alguma palavra final para dizer?
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute|Meu grande benevolente, você é muito sério! Você não tem o direito de decidir sobre o meu destino, o sangue real não deve fluir. Se isto é o que você faz, eu juro que serei vingado e você sofrerá.
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute.1|Eu acredito que você um dia virá a se arrepender de suas ações. Há apenas Um que é digno de decidir o destino do outro... e esse Um não é você.
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute.2|Você é um covarde e um cachorro! Que sua alma apodreça eternamente, vai se foder!
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute.3|Morrer é duro. Sempre senti que a única recompensa dos mortos é não morrer nunca mais.
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute.4|Você não encontrará paz nesta terra! Irei assombrá-lo eternamente! Até a morte você encontrará nada além de infelicidade e medo. E além dela... apenas tortura e dor!
dlga_prisoner_chat_treason_final_words:prisoner_chat_treason_execute.5|Quem é Você? ^Um dia passa...^Somos apenas crianças... ^Desejar a imortalidade é desejar a perpetuação de um grande erro.
dlga_prisoner_chat_treason_execute:close_window|(O prisioneiro luta contra suas algemas, desesperado para se libertar e escapar de você, mas sem sucesso. Você cortou sua garganta e assistiu, satisfeit{o/a}, enquanto o cadáver caía no chão.)
dlga_start:town_merchant_talk|Saudações, {milorde/milady}. Em que posso servi-l{o/a} hoje?
dlga_start:town_merchant_talk.1|Bom dia. O que posso fazer por você?
dlga_town_merchant_talk:trade_requested_weapons|Quero comprar uma nova arma. Mostre-me suas mercadorias.
dlga_town_merchant_talk:trade_requested_armor|Estou à procura de alguns equipamentos. Mostre-me o que tem à venda.
dlga_town_merchant_talk:trade_requested_horse|Estou pensando em comprar um cavalo.
dlga_trade_requested_weapons:merchant_trade|Ah, sim, {senhor/senhora}. Não encontrará armas melhores que estas em nenhum outro lugar.
dlga_trade_requested_armor:merchant_trade|Claro, {senhor/senhora}. Não encontrará armaduras de melhor qualidade que estas em toda Calradia.
dlga_trade_requested_horse:merchant_trade|Você tem bons olhos para cavalos, {senhor/senhora}. Não encontrará melhores animais em lugar nenhum.
dlga_merchant_trade:town_merchant_talk|Algo mais?
dlga_town_merchant_talk:merchant_gossip|Diga-me, o que se comenta ultimamente?
dlga_merchant_gossip:town_merchant_talk|Bem, nada de novo. O preço das coisas, o clima, a guerra, o de sempre.
dlga_town_merchant_talk:close_window|Adeus.
dlga_start:town_dweller_talk|{Milorde/Milady}?
dlga_start:town_dweller_talk.1|Bom dia, {senhor/senhora}.
dlga_town_dweller_talk:town_dweller_ask_fugitive|Procuro um homem chamado {s4}. Disseram que ele podia estar aqui.
dlga_town_dweller_ask_fugitive:close_window|Muitos estranhos passam por nossa aldeia, {senhor/senhora}. Se ele está escondido aqui, tenho certeza de que poderá encontrá-lo dando uma olhada.
dlga_town_dweller_talk:town_dweller_quest_meet_spy_in_enemy_town_ask_item|Perdoe-me, mas isso que está usando é algum tipo de {s5}?
dlga_town_dweller_quest_meet_spy_in_enemy_town_ask_item:town_dweller_talk|{s6}
dlga_town_dweller_talk:town_dweller_quest_meet_spy_in_enemy_town|{s4}
dlga_town_dweller_quest_meet_spy_in_enemy_town:town_dweller_quest_meet_spy_in_enemy_town_know|{s4}
dlga_town_dweller_quest_meet_spy_in_enemy_town:town_dweller_quest_meet_spy_in_enemy_town_dont_know|Hã? Que absurdos são esses?
dlga_town_dweller_quest_meet_spy_in_enemy_town_dont_know:close_window|Não importa.
dlga_town_dweller_quest_meet_spy_in_enemy_town_know:town_dweller_quest_meet_spy_in_enemy_town_chat|{s4} me enviou para recolher seus relatórios. Está com eles?
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat:town_dweller_quest_meet_spy_in_enemy_town_chat_2|Estava lhe esperando. Aqui estão, certifique-se de que cheguem até {s4} intactos e sem demora.
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat_2:close_window|Adeus.
dlga_town_dweller_talk:town_dweller_ask_info|O que pode me dizer sobre esta aldeia?
dlga_town_dweller_talk:town_dweller_ask_info.1|O que pode me dizer sobre esta cidade?
dlga_town_dweller_ask_info:close_window|{s10} {s11}
dlga_town_dweller_talk:town_dweller_ask_situation|Como é a vida aqui?
dlga_town_dweller_ask_situation:town_dweller_poor|Desastres tem atingido a minha família, {senhor/senhora}. Não temos terras para nós mesmos, e as outras pessoas não têm dinheiro para pagar pelo nosso trabalho, ou mesmo nos ajudar. Meus pobres filhos jazem em casa famintos e doentes. Eu não sei o que iremos fazer.
dlga_town_dweller_ask_situation:town_dweller_poor.1|Minha vida é uma miséria, {senhor/senhora}. Não consigo encontrar trabalho há meses e meus pobres filhos vão para a cama com fome todas as noites. Meus vizinhos são muito pobres para me ajudar.
dlga_town_dweller_poor:town_dweller_poor_paid|Nesse caso, tome estes 300 Florins. Espero que isto ajude a você e sua família.
dlga_town_dweller_poor:town_dweller_poor_not_paid|Então claramente você deve viajar para outro lugar, ou aprender um novo ofício.
dlga_town_dweller_poor_not_paid:close_window|Sim, {senhor/senhora}. Farei como diz.
dlga_town_dweller_poor_paid:close_window|Oh, {milorde/minha boa senhora}. Sua generosidade e bondade não tem limites. Contarei a todos como tem nos ajudado.
dlga_town_dweller_ask_situation:close_window|Obrigado pela generosidade, {senhor/senhora}. Com sua ajuda, nossas vidas melhorarão. Rezarei por você todos os dias.
dlga_town_dweller_ask_situation:town_dweller_talk|São tempos difíceis, {senhor/senhora}. Trabalhamos do amanhecer ao anoitecer, e ainda assim vamos dormir com fome quase todas as noites.
dlga_town_dweller_ask_situation:town_dweller_talk.1|São tempos difíceis, {senhor/senhora}. Mas devemos dar graças pelo que temos.
dlga_town_dweller_ask_situation:town_dweller_talk.2|Não vamos tão mal, {senhor/senhora}. Devemos dar graças pelo que temos.
dlga_town_dweller_talk:town_dweller_ask_trade|A que se dedica?
dlga_town_dweller_ask_trade:town_dweller_talk|{s14}
dlga_town_dweller_talk:town_dweller_ask_rumor|Quais são os rumores por aqui ultimamente?
dlga_town_dweller_ask_rumor:town_dweller_talk|Não ouvi nada que possa lhe interessar.
dlga_town_dweller_ask_rumor:town_dweller_talk.1|{s61}
dlga_town_dweller_ask_rumor:town_dweller_talk.2|Não tenho ouvido nada de interessante ultimamente.
dlga_town_dweller_talk:town_dweller_colony|Tenho uma colônia no Novo Mundo. Você não estaria interessado em ir morar lá?
dlga_town_dweller_colony:town_dweller_colony_1|Uma colônia? Isso é bem interessante. A vida é curta e perigosa aqui. As pessoas dizem que o Novo Mundo oferece novas oportunidades.
dlga_town_dweller_colony_1:town_dweller_colony_2|Então, você está interessado?
dlga_town_dweller_colony_2:town_dweller_colony_3|Não só eu. Eu conheço outras 9 pessoas que estão dispostas a tentar uma nova vida. Mas não podemos deixar este lugar imediatamente. Nós já temos uma vida aqui!
dlga_town_dweller_colony_3:town_dweller_colony_4|Bem, e se 250 Florins caíssem no seu bolso? Você acha que seria mais fácil então?
dlga_town_dweller_colony_3:close_window|Você provavelmente tem razão. É uma pena.
dlga_town_dweller_colony_4:close_window|Claro! Muito obrigado. Estamos prontos para navegar.
dlga_town_dweller_talk:close_window|[Deixar]
dlga_start:player_castle_guard_talk|Sim, {senhor/senhora}?
dlga_player_castle_guard_talk:player_castle_guard_talk_2|Como vai a guarda, soldado?
dlga_player_castle_guard_talk_2:player_castle_guard_talk_3|Tudo está tranquilo, {senhor/senhora}. Nada a reportar.
dlga_player_castle_guard_talk_3:close_window|Ótimo. Mantenha os olhos bem abertos.
dlga_start:close_window.45|Bom dia, {senhor/senhora}. Sempre uma honra tê-l{o/a} aqui em {s10}.
dlga_start:close_window.46|Fique longe de confusões dentro das muralhas e não teremos problemas.
dlga_start:hall_guard_talk|Suas ordens, {milorde/milady}?
dlga_start:close_window.47|Nós não devemos falar enquanto estamos de guarda, {sor/madame}.
dlga_hall_guard_talk:hall_guard_duty|Siga montando guarda e faça-me saber se alguém veio me ver.
dlga_hall_guard_duty:close_window|Sim, {milorde/milady}. Como desejar.
dlga_hall_guard_talk:hall_guard_arrest|Quero que prenda este homem imediatamente!
dlga_hall_guard_arrest:hall_guard_arrest_2|A quem quer prender, {senhor/senhora}?
dlga_hall_guard_arrest_2:close_window|Ah, não se preocupe com o meu bom humor, rapaz.
dlga_hall_guard_arrest_2:close_window.1|Esqueça. Encontrarei outra forma de lidar com isto.
dlga_enemy_defeated:close_window|Arggh! Odeio isto.
dlga_party_relieved:close_window|Obrigado por ajudar-nos com esses bastardos.
dlga_start:battle_reason_stated|Usarei seu crânio para beber!
dlga_start:battle_reason_stated.1|Renda-se ou morra. A decisão é sua.
dlga_member_chat:regular_member_talk|Quais são as ordens, {senhor/senhora}?
dlga_member_chat:regular_member_talk.1|Quais são suas ordens hoje, meu nobre senhor?
dlga_member_chat:regular_member_talk.2|Suas ordens {sor/madame}?
dlga_regular_member_talk:view_regular_char_requested|Fale-me de você.
dlga_regular_member_talk:member_change|Hora de trocar seu equipamento.
dlga_member_change:member_change_back|Se é isso que deseja.
dlga_member_change_back:member_change_verify|{Meu senhor/Minha senhora}...
dlga_member_change_verify:member_change_decision|Você realmente quer continuar? Eu acho que isso vai te custar {reg0} Florins se você quiser melhorar a armadura de todos os soldados deste tipo de tropa.
dlga_member_change_decision:member_chat|Sim, este é o novo equipamento.
dlga_member_change_decision:close_window|Cancele toda a operação!
dlga_regular_member_talk:member_chat|Cheat! View inventory
dlga_view_regular_char_requested:do_regular_member_view_char|Sim, {senhor/senhora}. Deixe que lhe conte tudo o que há para saber sobre mim.
dlga_do_regular_member_view_char:regular_member_talk|Algo mais?
dlga_regular_member_talk:close_window|Nada. Siga em frente.
dlga_start:party_encounter_hostile_attacker|Você não chance contra nós. Renda-se agora ou mataremos todos...
dlga_party_encounter_hostile_attacker:close_window|Lutaremos até o fim!
dlga_party_encounter_hostile_attacker:close_window.1|Não ataque! Nos rendemos.
dlga_start:party_encounter_hostile_defender|O que você quer?
dlga_party_encounter_hostile_defender:party_encounter_hostile_ultimatum_surrender|Renda-se ou morra!
dlga_party_encounter_hostile_ultimatum_surrender:close_window|{s43}
dlga_party_encounter_hostile_defender:close_window|Nada. Irei deixá-los em paz.
dlga_merchant_end:close_window|Eh! Realmente devo estar desesperado, para confiar no primeiro estrangeiro que passa. Contudo, algo me diz que minha confiança não estará mal depositada em você. Agora, veja se pode reunir alguns voluntários.
dlga_start:merchant_quest_4e|{s3}{s2}
dlga_merchant_quest_4e:merchant_finale|{s1}
dlga_merchant_quest_4e:merchant_finale.1|Os Céus nos concederam a vitória.
dlga_merchant_quest_4e:merchant_finale.2|Alegro-me em vê-l{o/a} com vida, também.
dlga_merchant_finale:close_window|Sim, sim... Agora dois dos meus homens mantêm preso o capitão da guarda em uma habitação dos fundos, com uma lâmina no pescoço. Terei que levá-lo perante o {s5} e explicar-lhe o porquê desta violação da paz em sua cidade. Você não precisa fazer parte disto, no entanto. Se tudo correr bem, {o/a} verei em breve na taverna e contarei como tudo foi solucionado. Se não me vê na taverna, certamente observará minha cabeça em uma lança sobre os portões da cidade... então aconselho que mantenha-se longe deste lugar durante um tempo e esqueça todo o acontecido. Assim que... espero que nos encontremos de novo!
dlga_start:merchant_quest_1_prologue_1|{s1}
